baseline,protocol,split_id,accuracy,balanced_accuracy,sensitivity,specificity,precision_yes,F1_yes,F1_no,Macro_F1,MCC,Brier,ROC_AUC,PR_AUC,tp,fp,tn,fn
always_yes,mccv,37,0.6111111111111112,0.5,1.0,0.0,0.6111111111111112,0.7586206896551724,0.0,0.3793103448275862,0.0,0.3888888888888889,,,11,7,0,0
always_yes,mccv,38,0.6111111111111112,0.5,1.0,0.0,0.6111111111111112,0.7586206896551724,0.0,0.3793103448275862,0.0,0.3888888888888889,,,11,7,0,0
always_yes,mccv,39,0.6111111111111112,0.5,1.0,0.0,0.6111111111111112,0.7586206896551724,0.0,0.3793103448275862,0.0,0.3888888888888889,,,11,7,0,0
always_yes,mccv,40,0.6111111111111112,0.5,1.0,0.0,0.6111111111111112,0.7586206896551724,0.0,0.3793103448275862,0.0,0.3888888888888889,,,11,7,0,0
always_yes,mccv,41,0.6111111111111112,0.5,1.0,0.0,0.6111111111111112,0.7586206896551724,0.0,0.3793103448275862,0.0,0.3888888888888889,,,11,7,0,0
always_yes,mccv,42,0.6111111111111112,0.5,1.0,0.0,0.6111111111111112,0.7586206896551724,0.0,0.3793103448275862,0.0,0.3888888888888889,,,11,7,0,0
always_yes,mccv,43,0.6111111111111112,0.5,1.0,0.0,0.6111111111111112,0.7586206896551724,0.0,0.3793103448275862,0.0,0.3888888888888889,,,11,7,0,0
always_yes,mccv,44,0.6111111111111112,0.5,1.0,0.0,0.6111111111111112,0.7586206896551724,0.0,0.3793103448275862,0.0,0.3888888888888889,,,11,7,0,0
always_yes,mccv,45,0.6111111111111112,0.5,1.0,0.0,0.6111111111111112,0.7586206896551724,0.0,0.3793103448275862,0.0,0.3888888888888889,,,11,7,0,0
always_yes,mccv,46,0.6111111111111112,0.5,1.0,0.0,0.6111111111111112,0.7586206896551724,0.0,0.3793103448275862,0.0,0.3888888888888889,,,11,7,0,0
always_yes,mccv,47,0.6111111111111112,0.5,1.0,0.0,0.6111111111111112,0.7586206896551724,0.0,0.3793103448275862,0.0,0.3888888888888889,,,11,7,0,0
always_yes,mccv,48,0.6111111111111112,0.5,1.0,0.0,0.6111111111111112,0.7586206896551724,0.0,0.3793103448275862,0.0,0.3888888888888889,,,11,7,0,0
always_yes,mccv,49,0.6111111111111112,0.5,1.0,0.0,0.6111111111111112,0.7586206896551724,0.0,0.3793103448275862,0.0,0.3888888888888889,,,11,7,0,0
always_yes,loo_pooled,-1,0.6136363636363636,0.5,1.0,0.0,0.6136363636363636,0.7605633802816901,0.0,0.38028169014084506,0.0,0.38636363636363635,,,54,34,0,0
always_no,mccv,0,0.3888888888888889,0.5,0.0,1.0,0.0,0.0,0.56,0.28,0.0,0.6111111111111112,,,0,0,7,11
always_no,mccv,1,0.3888888888888889,0.5,0.0,1.0,0.0,0.0,0.56,0.28,0.0,0.6111111111111112,,,0,0,7,11
always_no,mccv,2,0.3888888888888889,0.5,0.0,1.0,0.0,0.0,0.56,0.28,0.0,0.6111111111111112,,,0,0,7,11
always_no,mccv,3,0.3888888888888889,0.5,0.0,1.0,0.0,0.0,0.56,0.28,0.0,0.6111111111111112,,,0,0,7,11
always_no,mccv,4,0.3888888888888889,0.5,0.0,1.0,0.0,0.0,0.56,0.28,0.0,0.6111111111111112,,,0,0,7,11
always_no,mccv,5,0.3888888888888889,0.5,0.0,1.0,0.0,0.0,0.56,0.28,0.0,0.6111111111111112,,,0,0,7,11
