config_id,Macro_F1_mean_39,Macro_F1_mean_37,delta_mean_37_minus_39,delta_std,delta_se,delta_ci95_half,delta_ci95_low,delta_ci95_high,wilcoxon_p,n_folds_positive_delta,n_folds_negative_delta,is_exp3_winner,is_exp4_winner
minkowski_p3_fuzzy_confidence_uniform_k5,0.5621622646406803,0.5617628570412054,-0.000399407599474908,0.09115198149454187,0.01289083684667625,0.025905106512953757,-0.026304514112428665,0.02550569891347885,0.7376731710459064,19,20,False,False
minkowski_p3_fuzzy_confidence_inverse_distance_k11,0.5949797045794825,0.5941945755664695,-0.0007851290130129884,0.08865078895133777,0.012537114805005679,0.025194275457185784,-0.025979404470198773,0.024409146444172795,0.8634365931729464,19,16,False,False
euclidean_fuzzy_confidence_uniform_k5,0.5608348526512748,0.5600437174858564,-0.0007911351654183862,0.11246147597519271,0.015904454456861353,0.03196119783655834,-0.032752333001976726,0.031170062671139954,0.8905973659825853,23,19,False,False
minkowski_p3_fuzzy_confidence_inverse_distance_k5,0.5671057438373833,0.565959209510421,-0.0011465343269623763,0.09481839832384467,0.013409346487207548,0.02694709064677824,-0.028093624973740614,0.025800556319815864,0.39072379191303586,15,24,False,False
cosine_fuzzy_confidence_inverse_distance_k9,0.5704156434323617,0.5685181075837759,-0.001897535848585794,0.0933411972509452,0.013200438708042895,0.02652727474692529,-0.028424810595511083,0.024629738898339495,0.8381556171686748,16,20,False,False
cosine_rigid_inverse_distance_k11,0.5814584896584897,0.5788687421630483,-0.002589747495441399,0.06953449279401837,0.009833662276203503,0.01976148420055051,-0.02235123169599191,0.01717173670510911,0.6070504532360497,17,15,False,False
minkowski_p3_rigid_inverse_distance_k5,0.6039059072013372,0.6009457771821414,-0.0029601300191958446,0.07549644281972315,0.010676809334657734,0.021455851650478492,-0.024415981669674337,0.018495721631282647,0.9375178730661963,15,16,False,False
euclidean_fuzzy_confidence_inverse_distance_k5,0.5762134218206973,0.5731944996785419,-0.0030189221421554192,0.10320634600618007,0.014595581424491017,0.029330919002160654,-0.03234984114431607,0.026311996860005234,0.7513430549144118,24,22,False,False
manhattan_rigid_uniform_k3,0.587144944682056,0.5829025488478308,-0.004242395834225156,0.06812356783636807,0.009634127355143528,0.01936050376424585,-0.023602899598471005,0.015118107930020691,0.7369532728658712,17,18,False,False
cosine_rigid_inverse_distance_k9,0.583292962351658,0.5771543531123757,-0.006138609239282281,0.07019603400128892,0.00992721833094257,0.019949492131437645,-0.026088101370719926,0.013810882892155363,0.645088338349835,13,18,False,False
minkowski_p3_fuzzy_confidence_inverse_distance_k1,0.6051877389534881,0.5989488881327015,-0.006238850820786474,0.0909741432394975,0.012865686719456997,0.0258545654400833,-0.03209341626086977,0.019615714619296825,0.8505745316924498,17,18,False,False
minkowski_p3_fuzzy_confidence_uniform_k1,0.6051877389534881,0.5989488881327015,-0.006238850820786474,0.0909741432394975,0.012865686719456997,0.0258545654400833,-0.03209341626086977,0.019615714619296825,0.8505745316924498,17,18,False,False
minkowski_p3_rigid_uniform_k1,0.6051877389534881,0.5989488881327015,-0.006238850820786474,0.0909741432394975,0.012865686719456997,0.0258545654400833,-0.03209341626086977,0.019615714619296825,0.8505745316924498,17,18,False,False
minkowski_p3_rigid_inverse_distance_k1,0.6051877389534881,0.5989488881327015,-0.006238850820786474,0.0909741432394975,0.012865686719456997,0.0258545654400833,-0.03209341626086977,0.019615714619296825,0.8505745316924498,17,18,False,False
cosine_rigid_uniform_k5,0.6019615119389518,0.5949997665850001,-0.0069617453539515825,0.0821972977444628,0.01162445332606387,0.023360213549222575,-0.030321958903174157,0.016398468195270993,0.6844189201464823,18,24,False,False
