cfg_id,max_features,representation,k,weights,metric,mean_macro_f1,std_macro_f1,mean_acc,mean_sens,mean_spec
608,None,embedkit_sup,1,uniform,euclidean,0.5271002568684862,0.11781599744350466,0.5583333333333333,0.6372727272727273,0.43428571428571433
362,500,embedkit_sup,5,distance,euclidean,0.5270665236879701,0.11582709614577223,0.576111111111111,0.7081818181818181,0.3685714285714286
330,500,embedkit_unsup,5,distance,euclidean,0.5270665236879701,0.11582709614577223,0.576111111111111,0.7081818181818181,0.3685714285714286
363,500,embedkit_sup,5,distance,cosine,0.5269958710971903,0.11845588219031489,0.5755555555555556,0.7063636363636365,0.37000000000000005
331,500,embedkit_unsup,5,distance,cosine,0.5269958710971903,0.11845588219031489,0.5755555555555556,0.7063636363636365,0.37000000000000005
242,300,embedkit_sup,9,distance,euclidean,0.5265841337896833,0.12496454609269773,0.585,0.7309090909090908,0.35571428571428576
210,300,embedkit_unsup,9,distance,euclidean,0.5265841337896833,0.12496454609269773,0.585,0.7309090909090908,0.35571428571428576
5,100,raw,3,uniform,cosine,0.5263104236433016,0.10346351331913894,0.5511111111111112,0.6118181818181817,0.4557142857142857
584,None,embedkit_unsup,5,uniform,euclidean,0.5261694887405212,0.11701637380205918,0.5872222222222223,0.748181818181818,0.33428571428571424
616,None,embedkit_sup,5,uniform,euclidean,0.5261694887405212,0.11701637380205918,0.5872222222222223,0.748181818181818,0.33428571428571424
617,None,embedkit_sup,5,uniform,cosine,0.5261694887405212,0.11701637380205918,0.5872222222222223,0.748181818181818,0.33428571428571424
585,None,embedkit_unsup,5,uniform,cosine,0.5261694887405212,0.11701637380205918,0.5872222222222223,0.748181818181818,0.33428571428571424
189,300,pca,21,uniform,cosine,0.526014384101378,0.09907747370755053,0.6305555555555556,0.8845454545454545,0.23142857142857134
7,100,raw,3,distance,cosine,0.5258879408431266,0.10025469147614889,0.5477777777777778,0.5963636363636362,0.47142857142857136
318,500,pca,21,distance,euclidean,0.5258062232730899,0.1087803901916809,0.6344444444444445,0.8972727272727272,0.22142857142857136
587,None,embedkit_unsup,5,distance,cosine,0.5253189570835081,0.11528436603278301,0.5794444444444443,0.7245454545454544,0.35142857142857137
619,None,embedkit_sup,5,distance,cosine,0.5253189570835081,0.11528436603278301,0.5794444444444443,0.7245454545454544,0.35142857142857137
334,500,embedkit_unsup,7,distance,euclidean,0.5251857086646122,0.10932325293616885,0.5822222222222222,0.730909090909091,0.34857142857142853
366,500,embedkit_sup,7,distance,euclidean,0.5251857086646122,0.10932325293616885,0.5822222222222222,0.730909090909091,0.34857142857142853
102,100,embedkit_sup,3,distance,euclidean,0.5250874397892132,0.1134780593283599,0.5572222222222223,0.6481818181818183,0.41428571428571415
70,100,embedkit_unsup,3,distance,euclidean,0.5248733929664707,0.11335667667203292,0.5572222222222223,0.649090909090909,0.41285714285714276
240,300,embedkit_sup,9,uniform,euclidean,0.5248103225330377,0.1260211517752013,0.5861111111111111,0.7418181818181817,0.3414285714285714
