max_features,representation,n_neighbors,weights,metric,mean_macro_f1,mean_accuracy,mean_sensitivity,mean_specificity
100,embedkit_sup,3,distance,cosine,0.5044323456720786,0.5638888888888889,0.7290909090909092,0.3042857142857142
100,embedkit_sup,5,uniform,euclidean,0.5012191662743387,0.5761111111111112,0.7709090909090911,0.2699999999999999
100,embedkit_sup,5,uniform,cosine,0.5012191662743387,0.5761111111111112,0.7709090909090911,0.2699999999999999
100,embedkit_sup,5,distance,euclidean,0.5012191662743387,0.5761111111111112,0.7709090909090911,0.2699999999999999
100,embedkit_sup,5,distance,cosine,0.5022188760653529,0.5761111111111112,0.7690909090909092,0.27285714285714274
100,embedkit_sup,7,uniform,euclidean,0.5040357013370882,0.5905555555555556,0.8081818181818179,0.2485714285714285
100,embedkit_sup,7,uniform,cosine,0.5040357013370882,0.5905555555555556,0.8081818181818179,0.2485714285714285
100,embedkit_sup,7,distance,euclidean,0.5040357013370882,0.5905555555555556,0.8081818181818179,0.2485714285714285
100,embedkit_sup,7,distance,cosine,0.4998595421639275,0.5866666666666667,0.8036363636363635,0.24571428571428564
100,embedkit_sup,9,uniform,euclidean,0.49523677499550806,0.5933333333333334,0.8272727272727272,0.22571428571428565
100,embedkit_sup,9,uniform,cosine,0.49523677499550806,0.5933333333333334,0.8272727272727272,0.22571428571428565
100,embedkit_sup,9,distance,euclidean,0.49523677499550806,0.5933333333333334,0.8272727272727272,0.22571428571428565
100,embedkit_sup,9,distance,cosine,0.49212151201150456,0.5905555555555556,0.8236363636363635,0.2242857142857142
100,embedkit_sup,11,uniform,euclidean,0.49571116603702814,0.6027777777777779,0.8572727272727271,0.20285714285714282
100,embedkit_sup,11,uniform,cosine,0.49571116603702814,0.6027777777777779,0.8572727272727271,0.20285714285714282
100,embedkit_sup,11,distance,euclidean,0.49571116603702814,0.6027777777777779,0.8572727272727271,0.20285714285714282
100,embedkit_sup,11,distance,cosine,0.4949978682375984,0.6016666666666667,0.8545454545454544,0.20428571428571424
100,embedkit_sup,15,uniform,euclidean,0.46448142942070975,0.6044444444444445,0.8972727272727272,0.14428571428571427
100,embedkit_sup,15,uniform,cosine,0.46448142942070975,0.6044444444444445,0.8972727272727272,0.14428571428571427
100,embedkit_sup,15,distance,euclidean,0.46448142942070975,0.6044444444444445,0.8972727272727272,0.14428571428571427
100,embedkit_sup,15,distance,cosine,0.46863885669552835,0.6038888888888889,0.8909090909090908,0.15285714285714283
100,embedkit_sup,21,uniform,euclidean,0.4438292264762279,0.6038888888888889,0.9227272727272725,0.10285714285714284
100,embedkit_sup,21,uniform,cosine,0.4438292264762279,0.6038888888888889,0.9227272727272725,0.10285714285714284
100,embedkit_sup,21,distance,euclidean,0.4422835295805311,0.6027777777777777,0.9218181818181815,0.10142857142857141
100,embedkit_sup,21,distance,cosine,0.4403858011276302,0.5994444444444444,0.9145454545454544,0.10428571428571427
100,corr_0.7,1,uniform,euclidean,0.45878764435897634,0.5077777777777778,0.6436363636363636,0.29428571428571415
100,corr_0.7,1,uniform,cosine,0.4552924107831564,0.5016666666666666,0.6318181818181818,0.29714285714285704
100,corr_0.7,1,distance,euclidean,0.45878764435897634,0.5077777777777778,0.6436363636363636,0.29428571428571415
100,corr_0.7,1,distance,cosine,0.4552924107831564,0.5016666666666666,0.6318181818181818,0.29714285714285704
100,corr_0.7,3,uniform,euclidean,0.4406638524109316,0.5166666666666667,0.7072727272727272,0.21714285714285708
100,corr_0.7,3,uniform,cosine,0.45283554830725387,0.5155555555555555,0.6772727272727274,0.2614285714285714
100,corr_0.7,3,distance,euclidean,0.4406638524109316,0.5166666666666667,0.7072727272727272,0.21714285714285708
100,corr_0.7,3,distance,cosine,0.45283554830725387,0.5155555555555555,0.6772727272727274,0.2614285714285714
100,corr_0.7,5,uniform,euclidean,0.42718173225111244,0.5233333333333333,0.7490909090909093,0.1685714285714285
100,corr_0.7,5,uniform,cosine,0.46063581862405056,0.5377777777777778,0.7327272727272727,0.23142857142857134
100,corr_0.7,5,distance,euclidean,0.42718173225111244,0.5233333333333333,0.7490909090909093,0.1685714285714285
100,corr_0.7,5,distance,cosine,0.46063581862405056,0.5377777777777778,0.7327272727272727,0.23142857142857134
100,corr_0.7,7,uniform,euclidean,0.4483900843395596,0.5533333333333333,0.7981818181818181,0.1685714285714285
100,corr_0.7,7,uniform,cosine,0.47096854860115733,0.5583333333333333,0.7754545454545455,0.21714285714285708
100,corr_0.7,7,distance,euclidean,0.4483900843395596,0.5533333333333333,0.7981818181818181,0.1685714285714285
100,corr_0.7,7,distance,cosine,0.47096854860115733,0.5583333333333333,0.7754545454545455,0.21714285714285708
100,corr_0.7,9,uniform,euclidean,0.45178949785014255,0.5666666666666667,0.8272727272727272,0.1571428571428571
100,corr_0.7,9,uniform,cosine,0.469304156513152,0.5677777777777778,0.8027272727272726,0.1985714285714285
100,corr_0.7,9,distance,euclidean,0.45178949785014255,0.5666666666666667,0.8272727272727272,0.1571428571428571
100,corr_0.7,9,distance,cosine,0.469304156513152,0.5677777777777778,0.8027272727272726,0.1985714285714285
100,corr_0.7,11,uniform,euclidean,0.4626333911160747,0.5883333333333334,0.8654545454545455,0.15285714285714286
100,corr_0.7,11,uniform,cosine,0.4699584296984597,0.5816666666666667,0.8390909090909092,0.17714285714285707
100,corr_0.7,11,distance,euclidean,0.4626333911160747,0.5883333333333334,0.8654545454545455,0.15285714285714286
100,corr_0.7,11,distance,cosine,0.4699584296984597,0.5816666666666667,0.8390909090909092,0.17714285714285707
100,corr_0.7,15,uniform,euclidean,0.48267363447535855,0.6116666666666666,0.9,0.15857142857142856
100,corr_0.7,15,uniform,cosine,0.4855094514597513,0.6033333333333334,0.8772727272727273,0.17285714285714282
100,corr_0.7,15,distance,euclidean,0.48267363447535855,0.6116666666666666,0.9,0.15857142857142856
100,corr_0.7,15,distance,cosine,0.4840279699782698,0.6022222222222223,0.8763636363636365,0.17142857142857137
100,corr_0.7,21,uniform,euclidean,0.45802396447741267,0.6138888888888889,0.9345454545454543,0.10999999999999999
100,corr_0.7,21,uniform,cosine,0.48637587903794804,0.6238888888888889,0.9254545454545453,0.15
100,corr_0.7,21,distance,euclidean,0.45802396447741267,0.6138888888888889,0.9345454545454543,0.10999999999999999
100,corr_0.7,21,distance,cosine,0.48329234220441114,0.6222222222222222,0.9254545454545453,0.14571428571428569
100,corr_0.8,1,uniform,euclidean,0.447322860486806,0.5011111111111112,0.6463636363636364,0.27285714285714274
100,corr_0.8,1,uniform,cosine,0.4553024909633672,0.5033333333333334,0.6354545454545454,0.29571428571428565
100,corr_0.8,1,distance,euclidean,0.447322860486806,0.5011111111111112,0.6463636363636364,0.27285714285714274
100,corr_0.8,1,distance,cosine,0.4553024909633672,0.5033333333333334,0.6354545454545454,0.29571428571428565
100,corr_0.8,3,uniform,euclidean,0.44712875176353445,0.5233333333333334,0.7136363636363634,0.22428571428571423
100,corr_0.8,3,uniform,cosine,0.4549721832109402,0.5166666666666668,0.6772727272727274,0.2642857142857142
100,corr_0.8,3,distance,euclidean,0.44712875176353445,0.5233333333333334,0.7136363636363634,0.22428571428571423
100,corr_0.8,3,distance,cosine,0.4549721832109402,0.5166666666666668,0.6772727272727274,0.2642857142857142
100,corr_0.8,5,uniform,euclidean,0.45641096112782775,0.5444444444444444,0.7600000000000001,0.20571428571428566
100,corr_0.8,5,uniform,cosine,0.48270097703025094,0.5511111111111111,0.7318181818181819,0.26714285714285707
100,corr_0.8,5,distance,euclidean,0.45641096112782775,0.5444444444444444,0.7600000000000001,0.20571428571428566
100,corr_0.8,5,distance,cosine,0.48270097703025094,0.5511111111111111,0.7318181818181819,0.26714285714285707
100,corr_0.8,7,uniform,euclidean,0.4658286745211033,0.5683333333333332,0.8118181818181819,0.1857142857142856
100,corr_0.8,7,uniform,cosine,0.48807421100194714,0.5738888888888889,0.791818181818182,0.23142857142857134
100,corr_0.8,7,distance,euclidean,0.4658286745211033,0.5683333333333332,0.8118181818181819,0.1857142857142856
100,corr_0.8,7,distance,cosine,0.48807421100194714,0.5738888888888889,0.791818181818182,0.23142857142857134
100,corr_0.8,9,uniform,euclidean,0.478187066035192,0.5877777777777778,0.8445454545454544,0.18428571428571425
100,corr_0.8,9,uniform,cosine,0.4841159671523989,0.5805555555555556,0.8127272727272726,0.21571428571428564
100,corr_0.8,9,distance,euclidean,0.478187066035192,0.5877777777777778,0.8445454545454544,0.18428571428571425
100,corr_0.8,9,distance,cosine,0.4841159671523989,0.5805555555555556,0.8127272727272726,0.21571428571428564
100,corr_0.8,11,uniform,euclidean,0.4865236577459966,0.6050000000000001,0.8763636363636365,0.17857142857142855
100,corr_0.8,11,uniform,cosine,0.4813472968560675,0.5961111111111111,0.860909090909091,0.17999999999999997
100,corr_0.8,11,distance,euclidean,0.4865236577459966,0.6050000000000001,0.8763636363636365,0.17857142857142855
100,corr_0.8,11,distance,cosine,0.4813472968560675,0.5961111111111111,0.860909090909091,0.17999999999999997
100,corr_0.8,15,uniform,euclidean,0.4830532665846009,0.6099999999999999,0.8936363636363636,0.16428571428571426
100,corr_0.8,15,uniform,cosine,0.49624113758139243,0.6088888888888889,0.8763636363636365,0.18857142857142853
100,corr_0.8,15,distance,euclidean,0.4830532665846009,0.6099999999999999,0.8936363636363636,0.16428571428571426
100,corr_0.8,15,distance,cosine,0.4942318135720684,0.6077777777777779,0.8763636363636365,0.1857142857142857
100,corr_0.8,21,uniform,euclidean,0.45883100692411033,0.6133333333333334,0.9327272727272725,0.1114285714285714
