w_tab,w_mri,w_text,macro_f1,accuracy,sensitivity,specificity,auroc,brier_score,tp,tn,fp,fn
0.15000000000000002,0.6000000000000001,0.25,0.6399766218585623,0.6818181818181818,0.8333333333333334,0.4411764705882353,0.6857298474945533,0.21305209398269653,45,15,19,9
0.1,0.0,0.9,0.6399766218585623,0.6818181818181818,0.8333333333333334,0.4411764705882353,0.7050653594771242,0.20977626740932465,45,15,19,9
0.05,0.05,0.9,0.6399766218585623,0.6818181818181818,0.8333333333333334,0.4411764705882353,0.7050653594771241,0.21086129546165466,45,15,19,9
0.9500000000000001,0.05,0.0,0.6363636363636364,0.6590909090909091,0.7407407407407407,0.5294117647058824,0.6233660130718953,0.2809891402721405,40,18,16,14
0.9,0.1,0.0,0.6363636363636364,0.6590909090909091,0.7407407407407407,0.5294117647058824,0.6233660130718953,0.2720034420490265,40,18,16,14
0.8500000000000001,0.0,0.15,0.6363636363636364,0.6590909090909091,0.7407407407407407,0.5294117647058824,0.6737472766884531,0.2562118172645569,40,18,16,14
0.8500000000000001,0.1,0.05,0.6363636363636364,0.6590909090909091,0.7407407407407407,0.5294117647058824,0.6497821350762527,0.26073774695396423,40,18,16,14
0.8500000000000001,0.05,0.1,0.6363636363636364,0.6590909090909091,0.7407407407407407,0.5294117647058824,0.6674836601307189,0.2581813931465149,40,18,16,14
0.8500000000000001,0.15000000000000002,0.0,0.6363636363636364,0.6590909090909091,0.7407407407407407,0.5294117647058824,0.6244553376906318,0.2638809382915497,40,18,16,14
0.9,0.0,0.1,0.6363636363636364,0.6590909090909091,0.7407407407407407,0.5294117647058824,0.6726579520697168,0.2668154239654541,40,18,16,14
0.9,0.05,0.05,0.6363636363636364,0.6590909090909091,0.7407407407407407,0.5294117647058824,0.6633986928104575,0.26911601424217224,40,18,16,14
0.9500000000000001,0.0,0.05,0.6363636363636364,0.6590909090909091,0.7407407407407407,0.5294117647058824,0.6726579520697168,0.27835747599601746,40,18,16,14
0.8,0.05,0.15,0.6363636363636364,0.6590909090909091,0.7407407407407407,0.5294117647058824,0.6710239651416121,0.2481852024793625,40,18,16,14
0.65,0.15000000000000002,0.2,0.6363636363636364,0.6590909090909091,0.7407407407407407,0.5294117647058824,0.6797385620915033,0.22687889635562897,40,18,16,14
0.8,0.2,0.0,0.6363636363636364,0.6590909090909091,0.7407407407407407,0.5294117647058824,0.628267973856209,0.25662171840667725,40,18,16,14
0.75,0.2,0.05,0.6363636363636364,0.6590909090909091,0.7407407407407407,0.5294117647058824,0.6407952069716776,0.246570885181427,40,18,16,14
