representation,n_neighbors,weights,metric,mean_macro_f1,mean_accuracy,mean_sensitivity,mean_specificity
corr_0.7,1,uniform,cosine,0.4981685553603477,0.5494444444444445,0.6954545454545457,0.31999999999999995
corr_0.7,1,distance,euclidean,0.5065918610665247,0.5494444444444445,0.6763636363636365,0.35
corr_0.7,1,distance,cosine,0.4981685553603477,0.5494444444444445,0.6954545454545457,0.31999999999999995
corr_0.7,3,uniform,euclidean,0.4770966776406439,0.5494444444444445,0.7418181818181818,0.24714285714285708
corr_0.7,3,uniform,cosine,0.4821652930805106,0.5522222222222223,0.7409090909090911,0.25571428571428567
corr_0.7,3,distance,euclidean,0.4770966776406439,0.5494444444444445,0.7418181818181818,0.24714285714285708
corr_0.7,3,distance,cosine,0.4732748417846244,0.5455555555555556,0.7381818181818183,0.24285714285714277
corr_0.7,5,uniform,euclidean,0.4567600863848241,0.5383333333333334,0.7427272727272728,0.21714285714285708
corr_0.7,5,uniform,cosine,0.4888779067287314,0.5666666666666665,0.7663636363636364,0.25285714285714284
corr_0.7,5,distance,euclidean,0.45614458521932294,0.5372222222222223,0.7409090909090911,0.21714285714285708
corr_0.7,5,distance,cosine,0.4849051298276936,0.5616666666666665,0.7618181818181818,0.24714285714285705
corr_0.7,7,uniform,euclidean,0.44844986047324886,0.5333333333333333,0.7454545454545456,0.19999999999999996
corr_0.7,7,uniform,cosine,0.4486413565777883,0.5450000000000002,0.7763636363636361,0.18142857142857136
corr_0.7,7,distance,euclidean,0.44761374007191107,0.5322222222222223,0.7436363636363639,0.19999999999999996
corr_0.7,7,distance,cosine,0.44674298801037926,0.5405555555555556,0.7681818181818181,0.1828571428571428
corr_0.7,9,uniform,euclidean,0.42584782528399473,0.5261111111111112,0.759090909090909,0.15999999999999998
corr_0.7,9,uniform,cosine,0.42400829555807057,0.5305555555555556,0.7763636363636363,0.14428571428571427
corr_0.7,9,distance,euclidean,0.4242683438958177,0.523888888888889,0.7554545454545455,0.15999999999999998
