config_id,split_id,true_label,pred_label,count
euclidean_rigid_uniform_k3,31,1,1,7
euclidean_rigid_uniform_k3,32,0,0,6
euclidean_rigid_uniform_k3,32,0,1,1
euclidean_rigid_uniform_k3,32,1,0,4
euclidean_rigid_uniform_k3,32,1,1,7
euclidean_rigid_uniform_k3,33,0,0,5
euclidean_rigid_uniform_k3,33,0,1,2
euclidean_rigid_uniform_k3,33,1,0,8
euclidean_rigid_uniform_k3,33,1,1,3
euclidean_rigid_uniform_k3,34,0,0,1
euclidean_rigid_uniform_k3,34,0,1,6
euclidean_rigid_uniform_k3,34,1,0,2
euclidean_rigid_uniform_k3,34,1,1,9
euclidean_rigid_uniform_k3,35,0,0,3
euclidean_rigid_uniform_k3,35,0,1,4
euclidean_rigid_uniform_k3,35,1,0,6
euclidean_rigid_uniform_k3,35,1,1,5
euclidean_rigid_uniform_k3,36,0,0,3
euclidean_rigid_uniform_k3,36,0,1,4
euclidean_rigid_uniform_k3,36,1,0,2
euclidean_rigid_uniform_k3,36,1,1,9
euclidean_rigid_uniform_k3,37,0,0,4
euclidean_rigid_uniform_k3,37,0,1,3
euclidean_rigid_uniform_k3,37,1,0,2
euclidean_rigid_uniform_k3,37,1,1,9
euclidean_rigid_uniform_k3,38,0,0,4
euclidean_rigid_uniform_k3,38,0,1,3
euclidean_rigid_uniform_k3,38,1,0,4
euclidean_rigid_uniform_k3,38,1,1,7
euclidean_rigid_uniform_k3,39,0,0,6
euclidean_rigid_uniform_k3,39,0,1,1
euclidean_rigid_uniform_k3,39,1,0,6
euclidean_rigid_uniform_k3,39,1,1,5
euclidean_rigid_uniform_k3,40,0,0,4
euclidean_rigid_uniform_k3,40,0,1,3
euclidean_rigid_uniform_k3,40,1,0,3
euclidean_rigid_uniform_k3,40,1,1,8
euclidean_rigid_uniform_k3,41,0,0,3
euclidean_rigid_uniform_k3,41,0,1,4
euclidean_rigid_uniform_k3,41,1,0,4
euclidean_rigid_uniform_k3,41,1,1,7
euclidean_rigid_uniform_k3,42,0,0,4
euclidean_rigid_uniform_k3,42,0,1,3
euclidean_rigid_uniform_k3,42,1,0,5
euclidean_rigid_uniform_k3,42,1,1,6
euclidean_rigid_uniform_k3,43,0,0,4
euclidean_rigid_uniform_k3,43,0,1,3
euclidean_rigid_uniform_k3,43,1,0,3
euclidean_rigid_uniform_k3,43,1,1,8
euclidean_rigid_uniform_k3,44,0,0,2
euclidean_rigid_uniform_k3,44,0,1,5
euclidean_rigid_uniform_k3,44,1,0,6
euclidean_rigid_uniform_k3,44,1,1,5
euclidean_rigid_uniform_k3,45,0,0,3
euclidean_rigid_uniform_k3,45,0,1,4
euclidean_rigid_uniform_k3,45,1,0,4
euclidean_rigid_uniform_k3,45,1,1,7
euclidean_rigid_uniform_k3,46,0,0,1
euclidean_rigid_uniform_k3,46,0,1,6
euclidean_rigid_uniform_k3,46,1,0,3
euclidean_rigid_uniform_k3,46,1,1,8
euclidean_rigid_uniform_k3,47,0,0,2
euclidean_rigid_uniform_k3,47,0,1,5
euclidean_rigid_uniform_k3,47,1,0,4
euclidean_rigid_uniform_k3,47,1,1,7
euclidean_rigid_uniform_k3,48,0,0,3
euclidean_rigid_uniform_k3,48,0,1,4
euclidean_rigid_uniform_k3,48,1,0,1
euclidean_rigid_uniform_k3,48,1,1,10
euclidean_rigid_uniform_k3,49,0,0,3
euclidean_rigid_uniform_k3,49,0,1,4
euclidean_rigid_uniform_k3,49,1,0,5
euclidean_rigid_uniform_k3,49,1,1,6
euclidean_rigid_uniform_k5,0,0,0,4
euclidean_rigid_uniform_k5,0,0,1,3
euclidean_rigid_uniform_k5,0,1,0,2
euclidean_rigid_uniform_k5,0,1,1,9
euclidean_rigid_uniform_k5,1,0,0,4
euclidean_rigid_uniform_k5,1,0,1,3
euclidean_rigid_uniform_k5,1,1,0,3
euclidean_rigid_uniform_k5,1,1,1,8
euclidean_rigid_uniform_k5,2,0,0,2
euclidean_rigid_uniform_k5,2,0,1,5
euclidean_rigid_uniform_k5,2,1,0,5
euclidean_rigid_uniform_k5,2,1,1,6
euclidean_rigid_uniform_k5,3,0,0,3
euclidean_rigid_uniform_k5,3,0,1,4
euclidean_rigid_uniform_k5,3,1,0,2
euclidean_rigid_uniform_k5,3,1,1,9
euclidean_rigid_uniform_k5,4,0,0,2
euclidean_rigid_uniform_k5,4,0,1,5
euclidean_rigid_uniform_k5,4,1,0,3
euclidean_rigid_uniform_k5,4,1,1,8
euclidean_rigid_uniform_k5,5,0,0,4
euclidean_rigid_uniform_k5,5,0,1,3
euclidean_rigid_uniform_k5,5,1,0,2
euclidean_rigid_uniform_k5,5,1,1,9
euclidean_rigid_uniform_k5,6,0,0,3
euclidean_rigid_uniform_k5,6,0,1,4
euclidean_rigid_uniform_k5,6,1,0,2
euclidean_rigid_uniform_k5,6,1,1,9
euclidean_rigid_uniform_k5,7,0,0,5
euclidean_rigid_uniform_k5,7,0,1,2
euclidean_rigid_uniform_k5,7,1,0,6
euclidean_rigid_uniform_k5,7,1,1,5
euclidean_rigid_uniform_k5,8,0,0,4
euclidean_rigid_uniform_k5,8,0,1,3
euclidean_rigid_uniform_k5,8,1,0,4
euclidean_rigid_uniform_k5,8,1,1,7
euclidean_rigid_uniform_k5,9,0,0,3
euclidean_rigid_uniform_k5,9,0,1,4
euclidean_rigid_uniform_k5,9,1,0,1
